Index,Column Name,Description
1,date,"Quote date -- unique, sorted by this column"
2,vix,CBOE  implied  Volatility Index
3,open,First traded price
4,high,Highest traded price
5,low,Lowest traded price
6,close,Last traded price
7,avg_bid,Time average bid
8,avg_ask,Time average ask
9,max_ask,Max Ask
10,min_bid,Min Bid
11,average,Volume-weighted average price (WAP)
12,barCount,Number of individual trades or transactions
13,volume,Total quantity of shares
14,symbol,Stock Symbol
15,localSymbol,Option Symbol
16,conId,IB Contract ID
