Index,Column Name,Description,Ref Info
1,date,"Quote date -- unique, sorted by this column",
2,MACD_fast, "moving average 12 periods",
3,MACD_slow, "moving average 26 periods",
4,MACD_signal, "moving average of the difference over 9 periods",
5,BB_up,"exponential n=20 moving average of close + 2 stddev",
6,BB_down,"exponential n=20 moving average of close - 2 stddev",
7,BB_width,"exponential n=20 moving average of close [2 stddev] - [2 stddev]",
8,ATR,
9,RSI,
10,ADX,


date,vix,average,barCount,volume,symbol,localSymbol,conId,MACD_fast,MACD_slow,MACD_signal,BB_up,BB_dn,BB_width,ATR,RSI,ADX
